,Stations,Vessels,Capacity,Instance,Formulation,MIP_Objective,Bound,Gap,Runtime,Work
0,20,2,62.5,1,1,2633.6822188062424,2360.3043906814023,0.1038006127591023,169.5130000114441,77.1418193424634
1,20,2,62.5,1,2,2851.6322442594046,2285.682826696341,0.19846507862378507,21.70300006866455,8.178478071941365
2,20,2,62.5,1,3,inf,-inf,inf,1.3680000305175781,0.4497472747718916
3,20,2,62.5,1,4,2652.9257878378503,2208.632266603522,0.16747303044478676,37.91599988937378,14.138223802331062
4,20,2,62.5,2,1,inf,-inf,inf,1.307999849319458,0.41892831396917735
